,ped_phasing,control_type,penetration,fuel_consumption,waiting_time,time_loss,queue_length,pedestrian_time_loss,right_turn_conflicts,cavs_passing,pedestrians_passing,simulation_termination_time,phase_lengths,phase_occurrences
0,Concurrent,actuated,0.2,57.51406956674054,6.795918367346939,13.870408163265308,6.069834651329965,22.950542168674698,19,15,166,787.5,"{0: 4.0, 1: 4.605263157894737, 2: 3.5, 3: 0.5, 4: 4.405405405405405, 5: 3.5, 6: 0.5}","{0: 30.4, 1: 35.0, 2: 25.9, 3: 3.7, 4: 32.6, 5: 25.9, 6: 3.7}"
1,Concurrent,actuated,0.5,57.56259524560452,6.795918367346939,13.870408163265308,6.069834651329965,22.950542168674698,19,55,166,787.5,"{0: 4.0, 1: 4.605263157894737, 2: 3.5, 3: 0.5, 4: 4.405405405405405, 5: 3.5, 6: 0.5}","{0: 30.4, 1: 35.0, 2: 25.9, 3: 3.7, 4: 32.6, 5: 25.9, 6: 3.7}"
2,Concurrent,actuated,0.8,58.19946419741581,6.795918367346939,13.870408163265308,6.069834651329965,22.950542168674698,19,76,166,787.5,"{0: 4.0, 1: 4.605263157894737, 2: 3.5, 3: 0.5, 4: 4.405405405405405, 5: 3.5, 6: 0.5}","{0: 30.4, 1: 35.0, 2: 25.9, 3: 3.7, 4: 32.6, 5: 25.9, 6: 3.7}"
3,Concurrent,actuated,1.0,58.98313970710914,6.795918367346939,13.870408163265308,6.069834651329965,22.950542168674698,19,98,166,787.5,"{0: 4.0, 1: 4.605263157894737, 2: 3.5, 3: 0.5, 4: 4.405405405405405, 5: 3.5, 6: 0.5}","{0: 30.4, 1: 35.0, 2: 25.9, 3: 3.7, 4: 32.6, 5: 25.9, 6: 3.7}"
4,Concurrent,fixed_time,0.2,54.78623763160728,11.959183673469388,18.99336734693877,6.331715280801062,29.11277108433734,32,21,166,785.0,"{0: 5.0, 1: 30.0, 2: 3.0, 3: 1.5, 4: 25.0, 5: 2.5, 6: 3.0}","{0: 12.0, 1: 66.0, 2: 6.6, 3: 3.3, 4: 55.0, 5: 5.5, 6: 6.6}"
5,Concurrent,fixed_time,0.5,59.37387838358259,11.959183673469388,18.99336734693877,6.331715280801062,29.11277108433734,32,49,166,785.0,"{0: 5.0, 1: 30.0, 2: 3.0, 3: 1.5, 4: 25.0, 5: 2.5, 6: 3.0}","{0: 12.0, 1: 66.0, 2: 6.6, 3: 3.3, 4: 55.0, 5: 5.5, 6: 6.6}"
6,Concurrent,fixed_time,0.8,60.00522056091258,11.959183673469388,18.99336734693877,6.331715280801062,29.11277108433734,32,79,166,785.0,"{0: 5.0, 1: 30.0, 2: 3.0, 3: 1.5, 4: 25.0, 5: 2.5, 6: 3.0}","{0: 12.0, 1: 66.0, 2: 6.6, 3: 3.3, 4: 55.0, 5: 5.5, 6: 6.6}"
7,Concurrent,fixed_time,1.0,60.16891179090268,11.959183673469388,18.99336734693877,6.331715280801062,29.11277108433734,32,98,166,785.0,"{0: 5.0, 1: 30.0, 2: 3.0, 3: 1.5, 4: 25.0, 5: 2.5, 6: 3.0}","{0: 12.0, 1: 66.0, 2: 6.6, 3: 3.3, 4: 55.0, 5: 5.5, 6: 6.6}"
8,Concurrent,multi_scale,0.2,51.69721085506952,10.964285714285714,18.327653061224485,7.896475935828923,46.137951807228895,23,18,166,821.0,"{0: 5.0, 1: 35.0, -1: 7.0, 7: 7.5, 2: 5.0, 3: 19.444444444444443}","{0: 1.0, 1: 21.0, -1: 39.2, 7: 12.0, 2: 17.0, 3: 35.0}"
9,Concurrent,multi_scale,0.5,51.83690706762476,5.903061224489796,13.436020408163268,6.503140016570039,39.15921686746986,25,42,166,808.5,"{-1: 7.0, 7: 13.333333333333334, 2: 5.0, 3: 9.0, 1: 27.5}","{-1: 47.6, 7: 24.0, 2: 22.0, 3: 18.0, 1: 11.0}"
10,Concurrent,multi_scale,0.8,52.30014670453941,7.076530612244898,14.588163265306124,5.819297635605031,40.32018072289155,18,74,166,807.0,"{0: 5.0, 1: 26.666666666666668, -1: 7.0, 2: 5.0, 3: 12.777777777777779, 7: 11.11111111111111}","{0: 1.0, 1: 16.0, -1: 43.4, 2: 19.0, 3: 23.0, 7: 20.0}"
11,Concurrent,multi_scale,1.0,48.88630537807439,5.959183673469388,13.442244897959188,6.587736486486503,41.737108433734925,17,98,166,809.5,"{0: 5.0, 1: 32.5, -1: 7.0, 2: 5.0, 3: 7.5, 7: 9.444444444444445}","{0: 1.0, 1: 52.0, -1: 37.8, 2: 9.0, 3: 6.0, 7: 17.0}"
12,Exclusive,actuated,0.2,65.5831170489865,17.443877551020407,25.39132653061225,7.6317559626685565,23.268493975903606,8,22,166,788.0,"{0: 4.0, 1: 4.384615384615385, 2: 3.5, 3: 0.5, 4: 4.76, 5: 3.5, 6: 0.5, 7: 10.0}","{0: 20.8, 1: 22.8, 2: 17.5, 3: 2.5, 4: 23.8, 5: 17.5, 6: 2.5, 7: 50.0}"
13,Exclusive,actuated,0.5,69.0205492939697,17.443877551020407,25.39132653061225,7.6317559626685565,23.268493975903606,8,42,166,788.0,"{0: 4.0, 1: 4.384615384615385, 2: 3.5, 3: 0.5, 4: 4.76, 5: 3.5, 6: 0.5, 7: 10.0}","{0: 20.8, 1: 22.8, 2: 17.5, 3: 2.5, 4: 23.8, 5: 17.5, 6: 2.5, 7: 50.0}"
14,Exclusive,actuated,0.8,67.66221743618318,17.443877551020407,25.39132653061225,7.6317559626685565,23.268493975903606,8,85,166,788.0,"{0: 4.0, 1: 4.384615384615385, 2: 3.5, 3: 0.5, 4: 4.76, 5: 3.5, 6: 0.5, 7: 10.0}","{0: 20.8, 1: 22.8, 2: 17.5, 3: 2.5, 4: 23.8, 5: 17.5, 6: 2.5, 7: 50.0}"
15,Exclusive,actuated,1.0,67.41201126266861,17.443877551020407,25.39132653061225,7.6317559626685565,23.268493975903606,8,98,166,788.0,"{0: 4.0, 1: 4.384615384615385, 2: 3.5, 3: 0.5, 4: 4.76, 5: 3.5, 6: 0.5, 7: 10.0}","{0: 20.8, 1: 22.8, 2: 17.5, 3: 2.5, 4: 23.8, 5: 17.5, 6: 2.5, 7: 50.0}"
16,Exclusive,fixed_time,0.2,72.18725421179884,22.459183673469383,30.611836734693878,7.977217047699673,33.03499999999999,1,17,166,807.0,"{0: 27.5, 1: 3.0, 2: 1.5, 3: 17.5, 4: 3.0, 5: 1.5, 6: 34.0, 7: 2.0}","{0: 49.5, 1: 5.4, 2: 2.7, 3: 31.5, 4: 5.4, 5: 2.7, 6: 54.4, 7: 3.2}"
17,Exclusive,fixed_time,0.5,69.10931430515849,22.459183673469383,30.611836734693878,7.977217047699673,33.03499999999999,1,49,166,807.0,"{0: 27.5, 1: 3.0, 2: 1.5, 3: 17.5, 4: 3.0, 5: 1.5, 6: 34.0, 7: 2.0}","{0: 49.5, 1: 5.4, 2: 2.7, 3: 31.5, 4: 5.4, 5: 2.7, 6: 54.4, 7: 3.2}"
18,Exclusive,fixed_time,0.8,67.2348575093726,22.459183673469383,30.611836734693878,7.977217047699673,33.03499999999999,1,80,166,807.0,"{0: 27.5, 1: 3.0, 2: 1.5, 3: 17.5, 4: 3.0, 5: 1.5, 6: 34.0, 7: 2.0}","{0: 49.5, 1: 5.4, 2: 2.7, 3: 31.5, 4: 5.4, 5: 2.7, 6: 54.4, 7: 3.2}"
19,Exclusive,fixed_time,1.0,67.79785747234638,22.459183673469383,30.611836734693878,7.977217047699673,33.03499999999999,1,98,166,807.0,"{0: 27.5, 1: 3.0, 2: 1.5, 3: 17.5, 4: 3.0, 5: 1.5, 6: 34.0, 7: 2.0}","{0: 49.5, 1: 5.4, 2: 2.7, 3: 31.5, 4: 5.4, 5: 2.7, 6: 54.4, 7: 3.2}"
20,Exclusive,multi_scale,0.2,49.12611683478477,9.26530612244898,16.22408163265306,7.323442028985514,38.55873493975902,25,16,166,808.0,"{0: 5.0, -1: 3.888888888888889, 2: 5.0, 3: 10.0, 7: 10.0, 1: 38.75, 5: 6.666666666666667, 8: 30.0}","{0: 1.0, -1: 21.0, 2: 9.0, 3: 4.0, 7: 10.0, 1: 62.0, 5: 4.0, 8: 12.0}"
21,Exclusive,multi_scale,0.5,50.66449936386189,10.612244897959185,18.05683673469388,7.4660056022409105,33.16704819277107,16,50,166,800.5,"{0: 5.0, 1: 35.625, -1: 4.333333333333333, 2: 5.0, 3: 5.0, 7: 8.0, 5: 6.666666666666667, 8: 30.0}","{0: 1.0, 1: 57.0, -1: 23.4, 2: 8.0, 3: 2.0, 7: 8.0, 5: 4.0, 8: 18.0}"
22,Exclusive,multi_scale,0.8,52.796691085871856,11.683673469387756,19.42826530612245,6.881440230436893,30.473734939759037,20,79,166,801.0,"{0: 5.0, 1: 18.333333333333332, -1: 4.714285714285714, 2: 5.0, 3: 11.666666666666666, 7: 12.5, 5: 5.0, 8: 30.0}","{0: 1.0, 1: 33.0, -1: 26.4, 2: 6.0, 3: 14.0, 7: 15.0, 5: 2.0, 8: 24.0}"
23,Exclusive,multi_scale,1.0,53.15494345098449,10.005102040816327,18.666020408163263,6.403319458896992,28.95439759036144,21,98,166,805.0,"{0: 5.0, 1: 11.5, -1: 5.25, 2: 5.0, 3: 10.0, 7: 7.5, 5: 7.0, 8: 30.0}","{0: 2.0, 1: 23.0, -1: 33.6, 2: 7.0, 3: 8.0, 7: 6.0, 5: 7.0, 8: 36.0}"
