,ped_phasing,control_type,penetration,fuel_consumption,waiting_time,time_loss,queue_length,pedestrian_time_loss,right_turn_conflicts,cavs_passing,pedestrians_passing,simulation_termination_time,phase_lengths,phase_occurrences
0,Concurrent,actuated,0.2,57.39024932704805,6.413194444444445,13.926666666666666,6.022973790322624,24.31829457364341,62,32,258,823.0,"{0: 4.0, 1: 5.026315789473684, 2: 3.5, 3: 0.5, 4: 4.526315789473684, 5: 3.5, 6: 0.5}","{0: 30.4, 1: 38.2, 2: 26.6, 3: 3.8, 4: 34.4, 5: 26.6, 6: 3.8}"
1,Concurrent,actuated,0.5,57.75356751320847,6.413194444444445,13.926666666666666,6.022973790322624,24.31829457364341,62,71,258,823.0,"{0: 4.0, 1: 5.026315789473684, 2: 3.5, 3: 0.5, 4: 4.526315789473684, 5: 3.5, 6: 0.5}","{0: 30.4, 1: 38.2, 2: 26.6, 3: 3.8, 4: 34.4, 5: 26.6, 6: 3.8}"
2,Concurrent,actuated,0.8,59.11141049051523,6.413194444444445,13.926666666666666,6.022973790322624,24.31829457364341,62,118,258,823.0,"{0: 4.0, 1: 5.026315789473684, 2: 3.5, 3: 0.5, 4: 4.526315789473684, 5: 3.5, 6: 0.5}","{0: 30.4, 1: 38.2, 2: 26.6, 3: 3.8, 4: 34.4, 5: 26.6, 6: 3.8}"
3,Concurrent,actuated,1.0,58.69259589003635,6.413194444444445,13.926666666666666,6.022973790322624,24.31829457364341,62,144,258,823.0,"{0: 4.0, 1: 5.026315789473684, 2: 3.5, 3: 0.5, 4: 4.526315789473684, 5: 3.5, 6: 0.5}","{0: 30.4, 1: 38.2, 2: 26.6, 3: 3.8, 4: 34.4, 5: 26.6, 6: 3.8}"
4,Concurrent,fixed_time,0.2,59.28201643012198,13.62152777777778,21.451944444444447,7.290709961474931,28.803023255813944,102,22,258,852.0,"{0: 5.0, 1: 30.0, 2: 3.0, 3: 1.5, 4: 25.0, 5: 2.5, 6: 3.0}","{0: 13.0, 1: 72.0, 2: 7.2, 3: 3.6, 4: 60.0, 5: 6.0, 6: 7.2}"
5,Concurrent,fixed_time,0.5,60.26549636651603,13.62152777777778,21.451944444444447,7.290709961474931,28.803023255813944,102,72,258,852.0,"{0: 5.0, 1: 30.0, 2: 3.0, 3: 1.5, 4: 25.0, 5: 2.5, 6: 3.0}","{0: 13.0, 1: 72.0, 2: 7.2, 3: 3.6, 4: 60.0, 5: 6.0, 6: 7.2}"
6,Concurrent,fixed_time,0.8,59.6806535469394,13.62152777777778,21.451944444444447,7.290709961474931,28.803023255813944,102,114,258,852.0,"{0: 5.0, 1: 30.0, 2: 3.0, 3: 1.5, 4: 25.0, 5: 2.5, 6: 3.0}","{0: 13.0, 1: 72.0, 2: 7.2, 3: 3.6, 4: 60.0, 5: 6.0, 6: 7.2}"
7,Concurrent,fixed_time,1.0,59.88222672295572,13.62152777777778,21.451944444444447,7.290709961474931,28.803023255813944,102,144,258,852.0,"{0: 5.0, 1: 30.0, 2: 3.0, 3: 1.5, 4: 25.0, 5: 2.5, 6: 3.0}","{0: 13.0, 1: 72.0, 2: 7.2, 3: 3.6, 4: 60.0, 5: 6.0, 6: 7.2}"
8,Concurrent,multi_scale,0.2,58.49632360734632,20.572916666666668,30.44965277777778,10.139776509748016,40.13027131782943,103,25,258,835.5,"{-1: 7.0, 2: 5.0, 3: 7.5, 7: 23.333333333333332, 1: 52.0}","{-1: 29.4, 2: 9.0, 3: 6.0, 7: 28.0, 1: 52.0}"
9,Concurrent,multi_scale,0.5,66.90090142595106,57.78061224489796,67.13000000000001,15.01463945059136,72.81566265060242,51,46,166,854.5,"{0: 5.0, 1: 79.16666666666667, -1: 7.0, 7: 11.428571428571429, 2: 5.0, 3: 10.0}","{0: 1.0, 1: 95.0, -1: 28.0, 7: 16.0, 2: 7.0, 3: 8.0}"
10,Concurrent,multi_scale,0.8,52.179181120012046,10.25347222222222,19.442500000000003,6.655663956639584,37.852519379844935,71,114,258,851.5,"{0: 5.0, 1: 25.0, -1: 7.0, 7: 9.090909090909092, 2: 5.0, 3: 12.142857142857142}","{0: 1.0, 1: 25.0, -1: 47.6, 7: 20.0, 2: 18.0, 3: 17.0}"
11,Concurrent,multi_scale,1.0,51.63730867941025,13.04513888888889,22.15381944444444,7.575305343511393,39.54217054263562,90,144,258,869.5,"{0: 5.0, 1: 41.0, -1: 7.0, 7: 9.0, 2: 5.0, 3: 10.833333333333334}","{0: 1.0, 1: 41.0, -1: 43.4, 7: 18.0, 2: 16.0, 3: 13.0}"
