,ped_phasing,control_type,penetration,fuel_consumption,waiting_time,time_loss,queue_length,pedestrian_time_loss,right_turn_conflicts,cavs_passing,pedestrians_passing,simulation_termination_time,phase_lengths,phase_occurrences
0,Concurrent,actuated,0.2,61.35540702730079,7.413793103448276,14.751379310344833,5.7431840524303714,23.9745,40,21,220,790.0,"{0: 4.0, 1: 5.108108108108108, 2: 3.5, 3: 0.5, 4: 4.135135135135135, 5: 3.5, 6: 0.5}","{0: 29.6, 1: 37.8, 2: 25.9, 3: 3.7, 4: 30.6, 5: 25.9, 6: 3.7}"
1,Concurrent,actuated,0.5,59.63842128244095,7.413793103448276,14.751379310344833,5.7431840524303714,23.9745,40,59,220,790.0,"{0: 4.0, 1: 5.108108108108108, 2: 3.5, 3: 0.5, 4: 4.135135135135135, 5: 3.5, 6: 0.5}","{0: 29.6, 1: 37.8, 2: 25.9, 3: 3.7, 4: 30.6, 5: 25.9, 6: 3.7}"
2,Concurrent,actuated,0.8,59.71019109280089,7.413793103448276,14.751379310344833,5.7431840524303714,23.9745,40,96,220,790.0,"{0: 4.0, 1: 5.108108108108108, 2: 3.5, 3: 0.5, 4: 4.135135135135135, 5: 3.5, 6: 0.5}","{0: 29.6, 1: 37.8, 2: 25.9, 3: 3.7, 4: 30.6, 5: 25.9, 6: 3.7}"
3,Concurrent,actuated,1.0,60.519780076277726,7.413793103448276,14.751379310344833,5.7431840524303714,23.9745,40,116,220,790.0,"{0: 4.0, 1: 5.108108108108108, 2: 3.5, 3: 0.5, 4: 4.135135135135135, 5: 3.5, 6: 0.5}","{0: 29.6, 1: 37.8, 2: 25.9, 3: 3.7, 4: 30.6, 5: 25.9, 6: 3.7}"
4,Concurrent,fixed_time,0.2,58.06939852234297,13.150862068965518,20.593793103448277,7.681239395057157,29.434454545454532,62,28,220,782.0,"{0: 5.0, 1: 30.0, 2: 3.0, 3: 1.5, 4: 25.0, 5: 2.5, 6: 3.0}","{0: 12.0, 1: 66.0, 2: 6.6, 3: 3.3, 4: 55.0, 5: 5.5, 6: 6.6}"
5,Concurrent,fixed_time,0.5,60.67343908931848,13.150862068965518,20.593793103448277,7.681239395057157,29.434454545454532,62,55,220,782.0,"{0: 5.0, 1: 30.0, 2: 3.0, 3: 1.5, 4: 25.0, 5: 2.5, 6: 3.0}","{0: 12.0, 1: 66.0, 2: 6.6, 3: 3.3, 4: 55.0, 5: 5.5, 6: 6.6}"
6,Concurrent,fixed_time,0.8,58.93407973960132,13.150862068965518,20.593793103448277,7.681239395057157,29.434454545454532,62,93,220,782.0,"{0: 5.0, 1: 30.0, 2: 3.0, 3: 1.5, 4: 25.0, 5: 2.5, 6: 3.0}","{0: 12.0, 1: 66.0, 2: 6.6, 3: 3.3, 4: 55.0, 5: 5.5, 6: 6.6}"
7,Concurrent,fixed_time,1.0,60.2434968463459,13.150862068965518,20.593793103448277,7.681239395057157,29.434454545454532,62,116,220,782.0,"{0: 5.0, 1: 30.0, 2: 3.0, 3: 1.5, 4: 25.0, 5: 2.5, 6: 3.0}","{0: 12.0, 1: 66.0, 2: 6.6, 3: 3.3, 4: 55.0, 5: 5.5, 6: 6.6}"
8,Concurrent,multi_scale,0.2,54.80123993091381,11.80603448275862,19.856810344827583,7.668361004682878,38.03113636363635,46,33,220,823.0,"{0: 5.0, 1: 32.142857142857146, -1: 7.0, 7: 14.285714285714286, 2: 5.0, 3: 15.0}","{0: 1.0, 1: 45.0, -1: 37.8, 7: 20.0, 2: 13.0, 3: 9.0}"
9,Concurrent,multi_scale,0.5,49.698214785958974,10.163793103448276,17.80336206896552,8.426789577187813,43.926636363636334,53,57,220,822.0,"{0: 5.0, 1: 47.5, -1: 7.0, 7: 10.625, 2: 5.0, 3: 15.0}","{0: 1.0, 1: 57.0, -1: 29.4, 7: 17.0, 2: 6.0, 3: 15.0}"
10,Concurrent,multi_scale,0.8,49.90732714482365,8.461206896551724,15.91224137931034,7.457972399150774,39.77372727272728,51,100,220,825.0,"{0: 5.0, 1: 35.0, -1: 7.0, 7: 12.222222222222221, 2: 5.0, 3: 5.0}","{0: 1.0, 1: 49.0, -1: 37.8, 7: 22.0, 2: 11.0, 3: 2.0}"
11,Concurrent,multi_scale,1.0,49.53473781468768,6.461206896551724,13.99896551724138,6.401895135818084,36.59063636363635,45,116,220,832.0,"{0: 5.0, 1: 25.833333333333332, -1: 7.0, 7: 7.083333333333333, 2: 5.0, 3: 8.0}","{0: 1.0, 1: 31.0, -1: 50.4, 7: 17.0, 2: 18.0, 3: 8.0}"
