,ped_phasing,control_type,penetration,fuel_consumption,waiting_time,time_loss,queue_length,pedestrian_time_loss,right_turn_conflicts,cavs_passing,pedestrians_passing,simulation_termination_time,phase_lengths,phase_occurrences
0,Concurrent,actuated,0.2,92.30752295678448,119.6967213114754,179.32262295081958,11.28908884344451,42.4965900383142,111,61,261,821.5,"{9: 10.0, 10: 5.0, 11: 2.0, 0: 23.0, 1: 5.0, 2: 2.0, 3: 10.0, 4: 5.0, 5: 2.0, 6: 20.444444444444443, 7: 5.0, 8: 2.0}","{9: 18.0, 10: 9.0, 11: 3.6, 0: 41.4, 1: 9.0, 2: 3.6, 3: 18.0, 4: 9.0, 5: 3.6, 6: 36.8, 7: 8.0, 8: 3.2}"
1,Concurrent,actuated,0.5,89.88348222638164,48.35430463576159,72.44158940397348,11.28908884344451,42.4965900383142,111,151,261,821.5,"{9: 10.0, 10: 5.0, 11: 2.0, 0: 23.0, 1: 5.0, 2: 2.0, 3: 10.0, 4: 5.0, 5: 2.0, 6: 20.444444444444443, 7: 5.0, 8: 2.0}","{9: 18.0, 10: 9.0, 11: 3.6, 0: 41.4, 1: 9.0, 2: 3.6, 3: 18.0, 4: 9.0, 5: 3.6, 6: 36.8, 7: 8.0, 8: 3.2}"
2,Concurrent,actuated,0.8,89.25561380673743,32.307522123893804,48.40123893805308,11.28908884344451,42.4965900383142,111,226,261,821.5,"{9: 10.0, 10: 5.0, 11: 2.0, 0: 23.0, 1: 5.0, 2: 2.0, 3: 10.0, 4: 5.0, 5: 2.0, 6: 20.444444444444443, 7: 5.0, 8: 2.0}","{9: 18.0, 10: 9.0, 11: 3.6, 0: 41.4, 1: 9.0, 2: 3.6, 3: 18.0, 4: 9.0, 5: 3.6, 6: 36.8, 7: 8.0, 8: 3.2}"
3,Concurrent,actuated,1.0,88.66407459493823,26.6478102189781,39.92218978102188,11.28908884344451,42.4965900383142,111,274,261,821.5,"{9: 10.0, 10: 5.0, 11: 2.0, 0: 23.0, 1: 5.0, 2: 2.0, 3: 10.0, 4: 5.0, 5: 2.0, 6: 20.444444444444443, 7: 5.0, 8: 2.0}","{9: 18.0, 10: 9.0, 11: 3.6, 0: 41.4, 1: 9.0, 2: 3.6, 3: 18.0, 4: 9.0, 5: 3.6, 6: 36.8, 7: 8.0, 8: 3.2}"
4,Concurrent,fixed_time,0.2,89.40402799647997,136.172131147541,196.58786885245905,12.352668269230524,51.05697318007663,91,61,261,815.5,"{0: 30.0, 1: 5.0, 2: 2.0, 3: 10.0, 4: 5.0, 5: 2.0, 6: 30.0, 7: 5.0, 8: 2.0, 9: 10.0, 10: 5.0, 11: 2.0}","{0: 48.0, 1: 8.0, 2: 3.2, 3: 16.0, 4: 8.0, 5: 3.2, 6: 42.0, 7: 7.0, 8: 2.8, 9: 14.0, 10: 7.0, 11: 2.8}"
5,Concurrent,fixed_time,0.5,89.79505752389743,55.00993377483444,79.41629139072847,12.352668269230524,51.05697318007663,91,151,261,815.5,"{0: 30.0, 1: 5.0, 2: 2.0, 3: 10.0, 4: 5.0, 5: 2.0, 6: 30.0, 7: 5.0, 8: 2.0, 9: 10.0, 10: 5.0, 11: 2.0}","{0: 48.0, 1: 8.0, 2: 3.2, 3: 16.0, 4: 8.0, 5: 3.2, 6: 42.0, 7: 7.0, 8: 2.8, 9: 14.0, 10: 7.0, 11: 2.8}"
6,Concurrent,fixed_time,0.8,89.63366111765258,36.75442477876106,53.06132743362832,12.352668269230524,51.05697318007663,91,226,261,815.5,"{0: 30.0, 1: 5.0, 2: 2.0, 3: 10.0, 4: 5.0, 5: 2.0, 6: 30.0, 7: 5.0, 8: 2.0, 9: 10.0, 10: 5.0, 11: 2.0}","{0: 48.0, 1: 8.0, 2: 3.2, 3: 16.0, 4: 8.0, 5: 3.2, 6: 42.0, 7: 7.0, 8: 2.8, 9: 14.0, 10: 7.0, 11: 2.8}"
7,Concurrent,fixed_time,1.0,90.28804595068608,30.315693430656932,43.76591240875913,12.352668269230524,51.05697318007663,91,274,261,815.5,"{0: 30.0, 1: 5.0, 2: 2.0, 3: 10.0, 4: 5.0, 5: 2.0, 6: 30.0, 7: 5.0, 8: 2.0, 9: 10.0, 10: 5.0, 11: 2.0}","{0: 48.0, 1: 8.0, 2: 3.2, 3: 16.0, 4: 8.0, 5: 3.2, 6: 42.0, 7: 7.0, 8: 2.8, 9: 14.0, 10: 7.0, 11: 2.8}"
8,Concurrent,multi_scale,0.2,56.73156893033127,86.31967213114754,140.0914754098362,9.257521263669505,39.52432950191571,70,61,261,880.5,"{0: 16.11111111111111, -1: 7.0, 4: 19.375, 6: 10.0, 2: 11.25, 7: 5.0, 1: 13.333333333333334, 5: 15.0, 3: 10.0}","{0: 29.0, -1: 43.4, 4: 31.0, 6: 6.0, 2: 9.0, 7: 1.0, 1: 8.0, 5: 6.0, 3: 2.0}"
9,Concurrent,multi_scale,0.5,56.2468244281416,33.3046357615894,54.18205298013245,9.267944915254173,35.12045977011494,89,151,261,872.5,"{0: 18.333333333333332, -1: 7.0, 4: 15.0, 6: 7.5, 2: 8.75, 7: 7.5, 1: 10.0, 5: 12.5, 3: 5.0}","{0: 33.0, -1: 46.2, 4: 30.0, 6: 3.0, 2: 7.0, 7: 3.0, 1: 6.0, 5: 5.0, 3: 1.0}"
